experiment,corpus,level,variant,dict_size,ratio,train_wall_s,note
E1_FIX,csvrows,3,default_sweep_cand_65536,65536,6.044566,2.907,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=604.5s; accumulated=5.8s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,3,default_sweep_cand_112640,112640,6.206250,3.631,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=604.5s; accumulated=9.4s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,3,default_sweep_cand_262144,262144,6.460379,2.837,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=604.5s; accumulated=12.3s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,3,default_sweep_cand_524288,524288,6.555778,3.212,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=604.5s; accumulated=15.5s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,3,default_sweep_cand_786432,786432,6.568561,3.545,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=604.5s; accumulated=19.0s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,3,default_sweep_cand_1048576,1048576,6.568048,3.170,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=604.5s; accumulated=22.2s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,3,default_sweep_cand_1310720,1310720,6.609527,3.169,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=604.5s; accumulated=25.4s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,3,default_sweep_cand_1572864,1572864,6.594015,3.542,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=604.5s; accumulated=28.9s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,3,default_sweep_cand_1835008,1835008,6.604298,3.441,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=604.5s; accumulated=32.3s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,3,default_sweep_cand_2097152,2097152,6.600816,3.084,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=604.5s; accumulated=35.4s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,3,default_sweep_winner,1310720,6.601616,3.169,"winner=default_1310720b (by val_ratio=6.609527); trainer=default(fastCOVER, --train); equal-compute budget=604.5s (=MAIN full train_wall_s); heldout ratio (no refit-on-full)"
E1_FIX,csvrows,19,default_sweep_cand_16384,16384,6.598684,2.514,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3534.8s; accumulated=2.5s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,19,default_sweep_cand_65536,65536,7.762714,2.824,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3534.8s; accumulated=5.3s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,19,default_sweep_cand_112640,112640,8.204190,3.698,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3534.8s; accumulated=9.0s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,19,default_sweep_cand_262144,262144,8.855768,4.108,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3534.8s; accumulated=13.1s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,19,default_sweep_cand_524288,524288,9.326523,3.963,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3534.8s; accumulated=17.1s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,19,default_sweep_cand_786432,786432,9.526793,3.882,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3534.8s; accumulated=21.0s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,19,default_sweep_cand_1048576,1048576,9.762876,5.025,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3534.8s; accumulated=26.0s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,19,default_sweep_cand_1310720,1310720,9.842250,5.937,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3534.8s; accumulated=32.0s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,19,default_sweep_cand_1572864,1572864,9.999756,3.191,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3534.8s; accumulated=35.1s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,19,default_sweep_cand_1835008,1835008,10.086087,2.990,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3534.8s; accumulated=38.1s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,19,default_sweep_cand_2097152,2097152,10.210497,3.297,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=3534.8s; accumulated=41.4s; evaluated on train-internal val split (seed=1729)"
E1_FIX,csvrows,19,default_sweep_winner,2097152,10.206285,3.297,"winner=default_2097152b (by val_ratio=10.210497); trainer=default(fastCOVER, --train); equal-compute budget=3534.8s (=MAIN full train_wall_s); heldout ratio (no refit-on-full)"
CLIFF_FIX,github_users,3,default_cliff_16384_run1,16384,9.654842,0.940,"requested=16384; emitted=16384; trainer=default(fastCOVER, --train); heldout ratio; determinism_run=1/2; full train dir (no fit/val split)"
CLIFF_FIX,github_users,3,default_cliff_65536_run1,65536,9.835431,0.156,"requested=65536; emitted=65536; trainer=default(fastCOVER, --train); heldout ratio; determinism_run=1/2; full train dir (no fit/val split)"
CLIFF_FIX,github_users,3,default_cliff_112640_run1,112640,9.646165,0.196,"requested=112640; emitted=112640; trainer=default(fastCOVER, --train); heldout ratio; determinism_run=1/2; full train dir (no fit/val split)"
CLIFF_FIX,github_users,3,default_cliff_262144_run1,262144,9.588750,0.254,"requested=262144; emitted=262144; trainer=default(fastCOVER, --train); heldout ratio; determinism_run=1/2; full train dir (no fit/val split)"
CLIFF_FIX,github_users,3,default_cliff_524288_run1,524288,9.638748,0.260,"requested=524288; emitted=524288; trainer=default(fastCOVER, --train); heldout ratio; determinism_run=1/2; full train dir (no fit/val split)"
CLIFF_FIX,github_users,3,default_cliff_786432_run1,786432,9.834134,0.210,"requested=786432; emitted=786432; trainer=default(fastCOVER, --train); heldout ratio; determinism_run=1/2; full train dir (no fit/val split)"
CLIFF_FIX,github_users,3,default_cliff_1048576_run1,1048576,9.944199,0.215,"requested=1048576; emitted=1048576; trainer=default(fastCOVER, --train); heldout ratio; determinism_run=1/2; full train dir (no fit/val split)"
CLIFF_FIX,github_users,3,default_cliff_1310720_run1,1310720,10.074550,0.234,"requested=1310720; emitted=1310720; trainer=default(fastCOVER, --train); heldout ratio; determinism_run=1/2; full train dir (no fit/val split)"
CLIFF_FIX,github_users,3,default_cliff_1572864_run1,1572864,10.074550,0.236,"requested=1572864; emitted=1572864; trainer=default(fastCOVER, --train); heldout ratio; determinism_run=1/2; full train dir (no fit/val split)"
CLIFF_FIX,github_users,3,default_cliff_1835008_run1,1667175,6.415083,0.265,"requested=1835008; emitted=1667175; trainer=default(fastCOVER, --train); heldout ratio; determinism_run=1/2; full train dir (no fit/val split)"
CLIFF_FIX,github_users,3,default_cliff_2097152_run1,1667175,6.415083,0.574,"requested=2097152; emitted=1667175; trainer=default(fastCOVER, --train); heldout ratio; determinism_run=1/2; full train dir (no fit/val split)"
CLIFF_FIX,github_users,3,default_cliff_16384_run2,16384,9.654842,0.269,"requested=16384; emitted=16384; trainer=default(fastCOVER, --train); heldout ratio; determinism_run=2/2; full train dir (no fit/val split)"
